index,lang_id
1,zul
2,nbl
3,ssw
4,ssw
5,zul
6,nso
7,zul
8,sot
9,zul
10,zul
11,nso
12,tso
13,zul
14,sot
15,tso
16,xho
17,zul
18,ssw
19,afr
20,zul
21,zul
22,ven
23,zul
24,xho
25,zul
26,zul
27,nbl
28,afr
29,nso
30,tso
31,zul
32,xho
33,sot
34,nso
35,ssw
36,afr
37,nso
38,xho
39,sot
40,eng
41,zul
42,ssw
43,nbl
44,nbl
45,afr
46,zul
47,zul
48,ven
49,nbl
50,ssw
51,sot
52,zul
53,sot
54,sot
55,zul
56,ven
57,nbl
58,xho
59,ssw
60,nso
61,xho
62,nso
63,afr
64,zul
65,xho
66,zul
67,sot
68,nso
69,ssw
70,xho
71,zul
72,nso
73,xho
74,nso
75,ssw
76,ven
77,zul
78,tso
79,zul
80,ssw
81,ssw
82,zul
83,xho
84,zul
85,zul
86,nso
87,sot
88,tso
89,tso
90,zul
91,ssw
92,zul
93,zul
94,sot
95,zul
96,nso
97,zul
98,ssw
99,ven
100,nbl
101,zul
102,tso
103,nso
104,zul
105,ven
106,ven
107,ssw
108,nso
109,sot
110,sot
111,xho
112,zul
113,xho
114,xho
115,zul
116,sot
117,afr
118,nbl
119,eng
120,zul
121,sot
122,eng
123,zul
124,tso
125,nso
126,afr
127,zul
128,tso
129,ssw
130,nbl
131,tso
132,ven
133,zul
134,sot
135,ssw
136,ssw
137,xho
138,sot
139,ssw
140,afr
141,nso
142,nbl
143,nbl
144,nso
145,nbl
146,zul
147,nso
148,sot
149,xho
150,zul
151,nso
152,xho
153,xho
154,zul
155,zul
156,zul
157,zul
158,nbl
159,eng
160,sot
161,zul
162,tso
163,zul
164,xho
165,ssw
166,sot
167,zul
168,zul
169,eng
170,nbl
171,nbl
172,zul
173,xho
174,afr
175,xho
176,nso
177,afr
178,xho
179,tso
180,xho
181,zul
182,nso
183,ssw
184,ssw
185,sot
186,sot
187,zul
188,nbl
189,zul
190,nbl
191,xho
192,nso
193,sot
194,afr
195,zul
196,zul
197,sot
198,nbl
199,xho
200,zul
201,nso
202,afr
203,nbl
204,ssw
205,nbl
206,afr
207,xho
208,ven
209,tsn
210,ssw
211,zul
212,tso
213,afr
214,nbl
215,ven
216,afr
217,afr
218,ssw
219,afr
220,eng
221,tso
222,ven
223,afr
224,eng
225,eng
226,zul
227,ssw
228,eng
229,zul
230,nso
231,zul
232,ven
233,ven
234,sot
235,xho
236,zul
237,sot
238,nso
239,sot
240,nso
241,afr
242,zul
243,ssw
244,nbl
245,ssw
246,nbl
247,zul
248,nso
249,nbl
250,nbl
251,zul
252,sot
253,sot
254,afr
255,zul
256,zul
257,nso
258,ssw
259,zul
260,nbl
261,xho
262,zul
263,nbl
264,sot
265,nbl
266,xho
267,ven
268,ssw
269,zul
270,afr
271,nso
272,afr
273,ssw
274,nso
275,zul
276,sot
277,ssw
278,zul
279,sot
280,ssw
281,xho
282,nso
283,zul
284,nbl
285,eng
286,nbl
287,nbl
288,zul
289,xho
290,sot
291,nso
292,nso
293,tso
294,ssw
295,nbl
296,xho
297,zul
298,zul
299,nso
300,sot
301,zul
302,afr
303,xho
304,ssw
305,zul
306,eng
307,nbl
308,sot
309,ven
310,xho
311,ssw
312,zul
313,tso
314,zul
315,ssw
316,nso
317,afr
318,ssw
319,zul
320,zul
321,zul
322,xho
323,sot
324,nso
325,xho
326,zul
327,xho
328,zul
329,ven
330,afr
331,nbl
332,zul
333,ssw
334,ssw
335,sot
336,afr
337,afr
338,ssw
339,tso
340,sot
341,nso
342,ssw
343,xho
344,ven
345,xho
346,zul
347,xho
348,tso
349,zul
350,afr
351,nbl
352,zul
353,nso
354,nso
355,sot
356,ssw
357,zul
358,nso
359,ssw
360,zul
361,afr
362,zul
363,zul
364,tso
365,tso
366,zul
367,zul
368,xho
369,ssw
370,afr
371,nbl
372,afr
373,zul
374,xho
375,zul
376,ssw
377,nso
378,zul
379,nso
380,nso
381,xho
382,ssw
383,xho
384,ssw
385,afr
386,zul
387,xho
388,sot
389,zul
390,sot
391,nbl
392,afr
393,ssw
394,nso
395,nbl
396,nso
397,xho
398,sot
399,afr
400,ssw
401,sot
402,ssw
403,nso
404,nso
405,eng
406,nso
407,eng
408,nbl
409,ssw
410,nbl
411,xho
412,ssw
413,zul
414,nso
415,xho
416,zul
417,ssw
418,nbl
419,tso
420,tso
421,ssw
422,ven
423,zul
424,xho
425,nbl
426,afr
427,sot
428,nbl
429,zul
430,zul
431,nso
432,zul
433,ssw
434,nbl
435,zul
436,ven
437,ssw
438,zul
439,xho
440,zul
441,nso
442,xho
443,sot
444,xho
445,ssw
446,zul
447,tso
448,zul
449,nbl
450,nbl
451,ssw
452,nbl
453,ven
454,eng
455,nbl
456,ven
457,ssw
458,zul
459,sot
460,ssw
461,zul
462,zul
463,xho
464,sot
465,ven
466,xho
467,ssw
468,xho
469,zul
470,zul
471,zul
472,xho
473,afr
474,afr
475,nso
476,xho
477,xho
478,nbl
479,sot
480,ssw
481,zul
482,ssw
483,afr
484,zul
485,nbl
486,ssw
487,eng
488,ven
489,nso
490,nso
491,nso
492,nso
493,zul
494,ven
495,nso
496,ven
497,ssw
498,ssw
499,zul
500,ven
501,nbl
502,zul
503,nbl
504,nbl
505,zul
506,zul
507,zul
508,sot
509,afr
510,zul
511,afr
512,nbl
513,eng
514,zul
515,ssw
516,ssw
517,eng
518,ssw
519,tso
520,ven
521,ssw
522,xho
523,nbl
524,ssw
525,afr
526,zul
527,zul
528,zul
529,sot
530,ssw
531,nso
532,zul
533,zul
534,nbl
535,zul
536,tso
537,ssw
538,zul
539,ven
540,nbl
541,xho
542,zul
543,tso
544,zul
545,ssw
546,tso
547,xho
548,eng
549,zul
550,zul
551,zul
552,eng
553,zul
554,zul
555,ven
556,zul
557,ssw
558,ssw
559,afr
560,nbl
561,zul
562,xho
563,afr
564,zul
565,ssw
566,xho
567,zul
568,nbl
569,ssw
570,zul
571,zul
572,zul
573,sot
574,ssw
575,tsn
576,ssw
577,nbl
578,nbl
579,afr
580,ssw
581,xho
582,sot
583,xho
584,ven
585,afr
586,ven
587,eng
588,eng
589,afr
590,nbl
591,xho
592,sot
593,zul
594,afr
595,nso
596,ven
597,ssw
598,ven
599,ven
600,afr
601,ssw
602,afr
603,nso
604,nso
605,zul
606,ssw
607,ssw
608,afr
609,zul
610,ven
611,zul
612,sot
613,ssw
614,xho
615,afr
616,tso
617,zul
618,ssw
619,nbl
620,tso
621,tso
622,zul
623,xho
624,xho
625,nso
626,zul
627,xho
628,zul
629,ven
630,zul
631,zul
632,nbl
633,ssw
634,sot
635,afr
636,ssw
637,nbl
638,ssw
639,sot
640,zul
641,ssw
642,tso
643,nbl
644,tso
645,zul
646,afr
647,xho
648,zul
649,tso
650,sot
651,zul
652,zul
653,ssw
654,nso
655,ven
656,afr
657,sot
658,sot
659,sot
660,zul
661,xho
662,afr
663,tsn
664,nso
665,ven
666,nbl
667,sot
668,xho
669,sot
670,nbl
671,nso
672,afr
673,xho
674,nbl
675,xho
676,nbl
677,afr
678,afr
679,zul
680,nso
681,zul
682,xho
683,zul
684,ssw
685,sot
686,xho
687,nbl
688,zul
689,zul
690,zul
691,eng
692,afr
693,tsn
694,afr
695,ssw
696,zul
697,tso
698,nso
699,ssw
700,ssw
701,sot
702,nso
703,xho
704,xho
705,sot
706,zul
707,xho
708,zul
709,ssw
710,nso
711,sot
712,zul
713,ssw
714,tso
715,ven
716,sot
717,xho
718,nso
719,zul
720,eng
721,ven
722,nbl
723,xho
724,sot
725,zul
726,zul
727,zul
728,nbl
729,sot
730,zul
731,xho
732,sot
733,sot
734,ssw
735,eng
736,afr
737,ssw
738,eng
739,afr
740,nbl
741,zul
742,sot
743,nbl
744,ssw
745,eng
746,zul
747,zul
748,tso
749,zul
750,zul
751,zul
752,afr
753,zul
754,nbl
755,eng
756,nso
757,nbl
758,tso
759,tso
760,ssw
761,afr
762,nbl
763,nso
764,ssw
765,xho
766,nso
767,nso
768,nso
769,sot
770,ssw
771,eng
772,zul
773,zul
774,afr
775,eng
776,tso
777,zul
778,ssw
779,zul
780,zul
781,zul
782,zul
783,zul
784,nso
785,sot
786,afr
787,xho
788,nso
789,nso
790,tso
791,zul
792,xho
793,ssw
794,tso
795,eng
796,xho
797,ssw
798,zul
799,zul
800,ssw
801,zul
802,afr
803,nso
804,nso
805,xho
806,tso
807,zul
808,afr
809,zul
810,zul
811,eng
812,nso
813,zul
814,nbl
815,nbl
816,nso
